wang3 lu4	3-5115-S,3-15852-S,3-69586-S,4-46472-S,4-46947-S,7-55571-S,7-62821-S,9-51293-S,10-41106-S,20-40434-S,23-11281-S,23-13331-S,30-17072-S,30-17210-S,30-20194-S,40-59640-S,43-63594-S,50-9201-B,50-10576-S,57-61509-S,60-25167-S,65-20069-S,67-25557-S,67-34874-S,67-37438-S,70-193-S,70-22297-S
wang3 lu4 fu2 wu4	50-9493-B
wang3 lu4 huan2 jing4	50-9741-B
wang3 lu4 ji4 shu4	10-41182-S
wang3 lu4 jia4 gou4	50-9562-B
wang3 lu4 jie2 dian3	50-9818-B
wang3 lu4 jie2 dian3 jie4 mian4	50-9887-B
wang3 lu4 lian4 jie2 ceng2	50-9989-B
wang3 lu4 ping2 tai2	50-9343-B
wang3 lu4 te4 wu5	50-9640-B
wang3 lu4 xie2 hui4	50-10640-S
wang3 lu4 ying4 yong4	50-9416-B
wang3 lu4 zuo4 ye4 xi4 tong3	50-9242-B
wang3 luo2	50-8972-B
wang3 luo4	3-5046-S,3-46269-S,3-69133-S,4-36855-S,6-52599-S,7-70349-S,8-49887-S,8-52372-S,8-59290-S,10-41029-S,10-44140-S,13-3532-S,15-14425-S,15-18525-S,21-17014-S,24-49112-S,30-22549-S,33-52885-S,40-5102-S,46-60298-S,49-63673-S,50-6857-B,50-10511-S,55-52204-S,57-60204-S,62-7510-S,65-36399-S,67-28824-S,67-34808-S,70-22564-S
wang3 luo4 cao1 zuo4 xi4 tong3	50-7505-B
wang3 luo4 ceng2	50-7045-B
wang3 luo4 ceng2 xie2 yi4	50-7105-B
wang3 luo4 da3 yin4 ji1	50-7350-B
wang3 luo4 de5 jie1 kou3	43-35160-S
wang3 luo4 duan1 kou3	4-37002-S
wang3 luo4 gong1 si1	15-18589-S
wang3 luo4 guan3 li3	50-8119-B
wang3 luo4 guan3 li3 xi4 tong3	50-8284-B
wang3 luo4 guan3 li3 xie2 yi4	48-36803-S
wang3 luo4 guan3 li3 yuan2	50-8194-B
wang3 luo4 guang3 gao4	50-7195-B
wang3 luo4 gui1 hua4 ren2 yuan2	50-8392-B
wang3 luo4 huan2 jing4	50-7894-B
wang3 luo4 ji4 shu4	50-7431-B
wang3 luo4 jie1 kou3	43-35044-S
wang3 luo4 ke1 ji4	50-8046-B
wang3 luo4 ke4	50-6981-B
wang3 luo4 lian2 meng2	10-44256-S
wang3 luo4 liu2 lan3 qi4	50-7690-B
wang3 luo4 men2 hu4	15-18683-S
wang3 luo4 qian1 yi2	50-8734-B
wang3 luo4 ri4 ji4	50-7608-B
wang3 luo4 she4 bei4	50-8487-B
wang3 luo4 she4 ji4	50-8561-B
wang3 luo4 te4 gong1	50-7789-B
wang3 luo4 tie3 lu4	50-8808-B
wang3 luo4 xie2 yi4	50-6909-B
wang3 luo4 ying4 yong4	50-7272-B
wang3 luo4 you2 xi4	50-8644-B
wang3 luo4 zheng4	4-36919-S
wang3 luo4 zhi2 jing4	50-7972-B
wang3 min2	50-6046-B
wang3 mo2	50-9038-B,57-36522-S
wang3 mo4 yan2	21-61906-S
wang3 nan2 tao2	37-32825-S
wang3 ni4 li3 cai3	23-62670-B
wang3 nian2	23-62227-B
wang3 qian2	1-15414-S,23-62009-B
wang3 qiao2	50-5943-B
wang3 qiu2	29-26504-S,50-6306-B
wang3 qiu2 chang3	50-6347-B
wang3 qiu2 gong1 kai1 sai4	39-20953-S
wang3 ri4	23-62454-B
wang3 shang4	50-5256-B
wang3 shang4 guang3 bo1	50-5300-B
wang3 shao2	50-5792-B
wang3 shi2	23-62547-B
wang3 shi4	23-61761-B,54-16479-S
wang3 shi4 ru2 feng1	23-61825-B
wang3 sui4	23-62606-B
wang3 te4	50-6090-B
wang3 ti2 gong1 shang1	14-61191-S
wang3 tong1	50-10076-B
wang3 wang3	23-62296-B
wang3 wen2	50-53210-S
wang3 xi1	23-62502-B
wang3 yan3	50-6407-B
wang3 ye4	50-10870-B
wang3 ye4 she4 ji4	50-10912-B
wang3 yong4 hu4	3-46117-S
wang3 you2	50-10207-B
wang3 you2 yu2	39-44979-S
wang3 you3	50-5430-B
wang3 zhan4	3-46198-S,50-6482-B,65-22435-S
wang3 zhi1 yu2	39-44860-S
wang3 zhi2 qian2	9-66180-S
wang3 zhi3	50-5546-B
wang3 zhi4	50-9139-B
wang3 zhuang4 mai4	50-6212-B
