zhi3	1-75244-S,2-16018-S,2-44412-S,2-72038-S,2-74275-S,3-6012-S,3-62507-S,4-34251-S,4-34664-S,4-35506-S,4-45729-S,4-45848-S,4-56205-S,4-70954-S,5-29669-S,5-46029-S,6-16630-S,7-42605-S,9-10051-S,9-11636-S,9-31086-S,10-18308-S,11-29038-B,12-7732-B,12-12519-S,13-28573-B,14-26893-S,14-27136-S,15-27871-S,15-39572-S,15-47056-B,15-67812-S,16-11872-S,16-31817-S,16-54107-S,16-61346-S,17-18756-S,17-18911-S,17-44266-S,18-3768-S,19-39885-S,19-55266-S,20-44977-S,20-64644-S,21-24590-S,23-7626-S,23-9040-S,23-9472-S,23-13141-S,23-48555-S,24-13531-S,24-22891-B,24-68088-B,25-29418-S,26-3650-S,26-16066-S,26-33448-S,27-20158-S,27-20204-S,27-56927-B,29-4504-S,29-59531-S,30-63088-S,31-12756-B,31-61313-S,33-30887-S,33-39297-B,33-42747-S,35-32634-B,36-55037-S,36-55485-S,37-18037-B,39-16405-S,39-31573-S,40-12518-S,40-32709-S,40-48488-S,41-27316-S,41-59352-S,44-38025-S,44-40480-S,45-17320-S,45-28084-S,45-30377-S,45-66107-S,46-10204-S,46-26135-S,46-51647-B,46-52125-B,47-767-S,47-5771-S,47-36649-S,48-61531-S,49-16437-S,49-21266-B,49-36426-S,49-37301-S,49-46214-S,50-5546-S,51-319-S,51-47441-S,51-54823-S,51-55828-S,52-43570-S,53-27385-S,53-62494-B,54-8214-S,55-19613-S,56-38170-S,56-38241-S,56-49058-B,56-52156-S,57-5563-S,57-25980-S,57-42878-S,58-6894-S,60-33515-B,61-5677-B,61-14643-S,62-18788-S,62-49022-S,62-51125-S,62-64661-S,63-2225-S,63-10995-S,63-38734-S,63-43640-B,63-47279-S,64-34875-S,65-52272-S,65-59601-B,65-60971-S,65-64897-S,67-38220-S,67-62277-S,68-6095-S,68-42990-S,69-2458-S,69-13388-S,71-46273-B
zhi3 ban3	49-22293-B
zhi3 bao1 bu4 zhu4 huo3	49-21694-B
zhi3 bao4 dao3	16-11925-S
zhi3 bei1	49-22250-B
zhi3 bei3 zhen1	26-35440-S,27-57544-B
zhi3 bi4	49-22151-B
zhi3 biao1	15-48363-S,27-60082-B,31-835-S,47-26383-S
zhi3 bu4 guo4	46-51718-B
zhi3 bu4 guo4 ji3 nian2 qian2	12-7775-B
zhi3 cao3	49-23077-B
zhi3 chang2	10-42961-S
zhi3 chi3	61-47914-S
zhi3 chi4	27-59874-B
zhi3 chu1	27-57486-B
zhi3 chui2 xian2	33-42911-S
zhi3 dai4	49-22107-B
zhi3 dao3	27-58003-B
zhi3 dao3 jiao4 shou4	27-58195-B
zhi3 dao3 ke4	27-58382-B
zhi3 dao3 yuan2	27-58100-B
zhi3 dao3 zhe3	27-58279-B
zhi3 de2	12-7980-B
zhi3 de5 zhuan3 huan4	15-39612-S
zhi3 dian3	27-61547-B
zhi3 dian3 mi2 lu:4	27-60346-B
zhi3 ding4	27-57950-B
zhi3 dui1	29-61013-S,65-9381-S
zhi3 fa3	27-60242-B
zhi3 feng1	67-62336-S
zhi3 fu2	4-56246-S
zhi3 fu2 she4 cheng2 xu4	53-3067-S
zhi3 gao1 qi4 yang2	60-33582-B
zhi3 gu4	12-8886-B
zhi3 guan3	12-8282-B
zhi3 gui4	37-57098-S
zhi3 han4 ji4	35-32883-B
zhi3 hao3	12-7894-B
zhi3 he2 shi4 yan4 tiao2 yue1	7-42693-S
zhi3 he2 wu3 qi4 shi4 yan4 tiao2 yue1	47-894-S
zhi3 he4	49-23687-B
zhi3 hei1 zi4	44-43840-S
zhi3 hua1	49-23031-B
zhi3 hua4	63-43668-B
zhi3 hua4 ban4 gong1	40-59407-S
zhi3 hui1	27-59067-B,45-58620-S,49-22586-B
zhi3 hui1 bang4	27-59315-B
zhi3 hui1 bu4	27-7852-S
zhi3 hui1 guan1	15-65767-S,27-59204-B
zhi3 hui1 jia1	27-59259-B
zhi3 hui1 zhe3	27-59366-B
zhi3 hui1 zhong1 xin1	27-59132-B
zhi3 hun1	49-21981-B
zhi3 huo3 chai2	49-22515-B
zhi3 ji1	46-27851-S,56-53777-S
zhi3 jia1	49-21938-B
zhi3 jia3 you2	27-60539-B
zhi3 jia5 dao1	27-60483-B
zhi3 jian1	27-58476-B,60-33541-B
zhi3 jian4 shu4 mu4 bu4 jian4 sen1 lin2	12-8499-B
zhi3 jiang1	49-22469-B,71-6132-S
zhi3 jiao4	27-59489-B
zhi3 jie3 xi1 xie2 yi4	15-39698-S
zhi3 jin1	49-22061-B
zhi3 jing4	35-32830-B,36-52104-S
zhi3 ke2	35-32683-B
zhi3 ke2 tang2 jiang1	35-32736-B
zhi3 ke3 shu3	21-20015-S
zhi3 kong4	27-58992-B
zhi3 lao3 hu3	49-22976-B
zhi3 lei4	32-35738-S
zhi3 lei4 hua4 he2 wu4	36-33229-S
zhi3 ling4	27-57357-B
zhi3 ling4 ming2 zi4	27-57417-B
zhi3 ling4 xing2	47-812-S
zhi3 lu4	27-61065-B
zhi3 lu4 wei2 ma3	27-61419-B
zhi3 lu4 zuo4 ma3	27-61283-B
zhi3 ma3	49-21579-S,49-23410-B
zhi3 ma3 r5	49-23503-B
zhi3 mei2	52-51313-S,63-43716-B
zhi3 mei2 r5	49-22683-B
zhi3 ming2	27-59940-B,58-10507-S
zhi3 nan2	27-57597-B
zhi3 nan2 che1	27-57698-B
zhi3 nan2 zhen1	27-57797-B
zhi3 neng2	12-8362-B
zhi3 pai2	49-22815-B
zhi3 pai4	27-60302-B
zhi3 pen2	49-22861-B
zhi3 pian4	49-22765-B
zhi3 pin3	49-21811-B
zhi3 qi4	1-18733-S
zhi3 qian2	49-23318-B
zhi3 qian4 dong1 feng1	12-8147-B
zhi3 qing3	1-8366-S
zhi3 qu4	31-12859-B
zhi3 ren2	49-21515-B
zhi3 ren2 zhi3 ma3	49-21579-B
zhi3 shang4	60-53455-S
zhi3 shang4 tan2 bing1	49-21294-B
zhi3 shi4	12-8053-B,27-57051-B,27-60595-B
zhi3 shi4 dai4 ci2	27-60687-B
zhi3 shi4 fu2	27-60878-B,65-14529-S
zhi3 shi4 fu2 biao1	38-57145-S
zhi3 shi4 ji4	27-60772-B
zhi3 shi4 qi4	27-60825-B
zhi3 shi4 zi4	27-57199-B
zhi3 shou3 hua4 jiao3	27-58611-B,27-58821-B
zhi3 shu3	54-24749-S
zhi3 shu4	21-18847-S,27-59550-B,31-11407-S,38-32271-S,40-21025-S,41-53182-S
zhi3 shu4 han2 shu4	27-59594-B
zhi3 shu4 ji1 jin1	27-59670-B
zhi3 shu4 qi1 quan2	27-59805-B
zhi3 shu4 tao4 li4	27-59735-B
zhi3 teng2 pian1	35-32942-B
zhi3 tiao2	49-22336-B
zhi3 tong2	66-53927-S
zhi3 tong4	35-33015-B
zhi3 tong4 fa3	35-33142-B
zhi3 tong4 ji4	35-33088-B
zhi3 tou5	27-61240-B
zhi3 wang4	27-60015-B
zhi3 wen2	27-60931-B
zhi3 xian1 wei2	51-55870-S
zhi3 xian4 yu2	12-8674-B
zhi3 xiang1	49-22920-B
zhi3 xiang4	24-62151-S,45-62606-S
zhi3 xiang4 zhuang1 zhi4	27-57850-B
zhi3 xing2	49-21870-B
zhi3 xue4	35-33211-B
zhi3 xue4 dian4	35-33284-B
zhi3 xue4 shuan1	35-33359-B
zhi3 yan1	49-22640-B
