rong zong yao zu	34-40912-B
rong2	2-5860-S,2-17611-S,2-20272-S,3-71466-S,6-54200-S,7-10273-S,7-27863-S,8-1617-S,8-6438-S,8-18928-S,8-40597-S,10-14060-S,12-5836-S,17-16864-S,18-13570-S,18-15908-S,18-44663-S,18-46356-S,19-65144-B,20-25199-S,20-42897-S,20-43546-S,21-36267-S,21-49062-B,23-38035-S,23-53971-S,24-8386-S,24-11368-S,24-19859-S,24-52388-S,25-46502-S,26-6685-B,29-40661-S,30-15170-S,32-61746-S,33-28702-S,33-44880-S,33-51993-B,34-39106-B,34-40777-B,35-22434-S,35-51014-S,35-61223-S,36-10415-S,36-15711-B,36-43903-S,38-32166-S,39-24060-B,40-49086-S,40-55923-S,41-13636-B,41-14156-S,41-18325-S,42-8347-B,42-63376-B,43-36969-S,44-9701-S,45-25837-S,45-41573-S,48-4403-S,48-13298-S,49-49426-B,49-54839-S,50-3904-S,50-28797-S,50-37715-S,51-6198-S,51-10430-B,51-16163-S,51-67860-S,52-33629-S,53-24819-S,53-48437-S,53-50154-S,54-12371-B,54-33589-S,54-45634-S,54-64058-S,54-64857-S,55-4877-B,55-8112-S,55-53043-S,56-10226-B,56-11590-S,56-20535-B,57-17475-S,59-27546-S,62-12411-S,63-2593-S,63-58453-S,64-14827-S,64-52275-B,66-11614-S,66-20893-S,66-61792-S,66-62949-S,67-29543-S,68-2027-S,68-39880-S,69-41463-S
rong2 Gong1 si1	15-20156-S
rong2 Guan3 li3 ju2	69-28307-S
rong2 Shi2 bao4	64-15106-S
rong2 ao2 xie4	49-49765-B
rong2 ba1 chi3	7-51992-S
rong2 bing1	56-10330-B
rong2 bing4 bao1	8-6484-S
rong2 bu4	49-49463-B
rong2 bu4 po4	24-11421-S
rong2 bu5 de2	19-65223-B
rong2 che1	26-7181-B
rong2 chu1 shui3	53-50235-S
rong2 ci2	23-54034-S,23-54089-S
rong2 ci2 dian3	60-43956-S
rong2 da4 du4	66-61855-S
rong2 dao4	54-33652-S
rong2 dian3	41-14325-B
rong2 feng1 bo1	64-15353-S
rong2 gai3 ge2	64-15034-S
rong2 ge2 ming4	7-10325-S
rong2 guang1	34-40870-B
rong2 gui1 gu4 li3	34-41514-B
rong2 gui1 zhu3	34-41435-B
rong2 hang2	26-7020-B
rong2 hang2 kong1	65-15734-S
rong2 he2	49-33414-S,56-10531-B,56-10725-B
rong2 he2 wei4 yi1	56-10659-B
rong2 hua1	53-50370-S
rong2 hua2	34-41846-B
rong2 hua2 fu4 gui4	34-41899-B
rong2 hua4	39-24144-B,41-13673-B,56-10377-B
rong2 hua4 dian3	41-13721-B
rong2 huan3	9-14299-S
rong2 hui4	56-10472-B,56-10837-B
rong2 hui4 guan4 tong1	56-10915-B
rong2 huo4	34-41649-B
rong2 ji1	19-65611-B,26-6907-B
rong2 ji1 guang1 qi4	15-849-S
rong2 ji1 xia4 lu:4	19-65688-B
rong2 ji4	39-24103-B
rong2 jia3	26-6968-B
rong2 jiang1	41-14048-B
rong2 jiao1	36-29061-S
rong2 jiao1 zhen1 cha2 yi2	36-29114-S
rong2 jiao4	51-6241-S
rong2 jie3	39-24702-B,41-14284-B,56-11657-B
rong2 jie3 du4	39-24754-B
rong2 jie3 xing4	39-24809-B
rong2 ke3 ju1	48-4463-S
rong2 kuang4 lu2	41-14102-B
rong2 liang4	17-15043-S,19-66010-B
rong2 liang4 fen1 xi1	19-66085-B
rong2 lu2	56-11519-B
rong2 lu2 da4	17-34199-B
rong2 ma3	26-7232-B
rong2 ma3 sheng1 ya2	26-7293-B
rong2 man3 mian4	24-52432-S
rong2 mao2	49-49504-B
rong2 mao2 xing4 xian4 ji1 su4	49-49599-B
rong2 mao4	19-65954-B
rong2 mei2 chu3 cun2 ji2 bing4	39-24288-B
rong2 mei2 ti3	39-24398-B,39-24949-B
rong2 mei3	34-41757-B
rong2 na4	19-65784-B
rong2 qi2	66-6454-S
rong2 qi4	16-32762-S,19-65375-B,67-29590-S
rong2 qia4	56-11177-B
rong2 qian2	54-64907-S
rong2 quan1	17-22157-S
rong2 ran2	56-11459-B
rong2 ren3	12-12409-S,19-65493-B
rong2 rong2	41-14156-B,56-11590-B
rong2 rong2 yan2 jiang1	41-14207-B
rong2 ru3 guan1	34-42169-B
rong2 ru4	56-10270-B
rong2 shen1	40-61238-S
