hang2 hang2 chu1 zhuang4 yuan2	56-34861-B
hang2 he2 tai4 kong1 shu3	15-5023-S
hang2 hui1	53-34049-B
hang2 ji1	53-36310-B
hang2 jia1	56-32163-B,64-29005-S
hang2 jian1	19-6493-S,56-35417-B
hang2 ju2	19-21358-S,51-3886-S,51-6048-S
hang2 ka3	64-28830-S
hang2 kong1	15-11417-S,31-9593-S,39-6513-S,53-35022-B,65-15734-S
hang2 kong1 gang3	53-35709-B
hang2 kong1 gong1 si1	11-19681-S,15-6931-S,37-30144-S,51-5136-S,51-60661-S,53-35201-B
hang2 kong1 gong1 ye4 gong1 si1	2-63209-S
hang2 kong1 ju2	51-3475-S
hang2 kong1 lian2 he2 hui4	15-18981-S
hang2 kong1 mu3 jian4	33-55772-S,53-35462-B
hang2 kong1 mu3 jian4 zhan4 dou4 qun2	53-35536-B
hang2 kong1 qi4	53-35282-B
hang2 kong1 shi4 ye4	53-35066-B
hang2 kong1 shu4	53-35925-B
hang2 kong1 xin4	53-35140-B
hang2 kong1 xue2	53-35336-B
hang2 kong1 xue2 yuan4	10-27579-S
hang2 kong1 ye4	53-35399-B
hang2 kong1 you2 jian4	53-35983-B
hang2 kong1 zhan4	53-35775-B
hang2 kong1 zi4 wei4 dui4	53-35835-B
hang2 lie4	56-31662-B
hang2 lie4 shi4	56-31707-B
hang2 mo2	53-34281-B
hang2 mu3	53-34500-B
hang2 qing2	56-32398-B
hang2 qu1	65-47361-S
hang2 sao3 miao2	62-2655-S,66-40947-S
hang2 shan1	17-60647-S
hang2 shi1	10-45394-S
hang2 shi4	56-32287-B
hang2 su4	53-36370-B
hang2 tian1	53-33818-B
hang2 tian1 fa1 she4 ji1 di4	27-46301-S
hang2 tian1 fei1 ji1	53-33979-B
hang2 tian1 gong1 ye4 gong1 si1	2-62899-S
hang2 tian1 hang2 kong1 ju2	51-3475-S
hang2 tian1 ji4 shu4 jin4 chu1 kou3 gong1 si1	2-63009-S
hang2 tian1 ju2	15-6805-S,35-29916-S
hang2 tian1 qi4	53-33923-B
hang2 tian1 yuan2	53-33866-B
hang2 tu2	53-33779-B
hang2 xi4 tong3	7-39609-S
hang2 xian4	1-50550-S,53-36114-B
hang2 xiang4	53-33694-B
hang2 xing2	28-62680-S,53-36255-B
hang2 yang2	34-1309-B
hang2 yang2 dao1 ju4	34-1417-B
hang2 ye4	56-34016-B,62-13503-S,64-29057-S
hang2 ye4 wu4	64-29109-S
hang2 you2	53-36537-B
hang2 yuan2	19-21303-S,20-59752-S
hang2 yun4	53-36428-B
hang2 zhan4	53-36049-B
hang2 zhang3	56-35366-B
hang4	37-4307-B
