ní kē xī yà	21-14177-B
ní kǎ lái wēn sī jī	54-25358-S
ní luó	21-14397-B
ní luó hé	21-14438-B
ní lè kè	21-12885-B
ní lè yuán	61-50636-S,61-51239-S
ní lóng	21-14691-B
ní lóng bù	21-14730-B
ní lóng dā kòu	21-14785-B
ní lā	69-36069-S
ní lā dà xué	69-36142-S
ní mù	21-13832-B
ní mōu	13-56314-S
ní mǎ	21-14120-B
ní mǐ zī	21-14256-B
ní mǐ zī hào	21-14332-B
ní mǔ	21-13085-B
ní niú rù hǎi	37-43366-B
ní nuò	11-28687-S
ní nuò fū	27-25835-S
ní nuò xiàn xiàng	11-28747-S
ní nà	27-22386-S
ní nào	37-43207-B
ní nán	13-10260-B
ní nán xì yǔ	13-10341-B
ní nìng	37-43286-B
ní pài	62-59448-S
ní pén jì	37-43507-B
ní pú sà	37-43685-B
ní pú sà guò jiāng	37-43743-B
ní pā tè	22-22533-S
ní qīng xiè	21-30987-S
ní rì lì yà	21-13626-B
ní rì ěr	21-13685-B
ní rì ěr hé	21-13754-B
ní shuǐ jiàng	37-43079-B
ní shí	49-65583-S
ní shí liú	37-43597-B
ní shā	37-43131-B
ní shēng	4-64679-S
ní shěng	9-58948-S
ní shǐ tuán	69-35282-S,69-37807-S
ní si	3-2036-S
ní sì chōng	6-2921-B
ní sī	12-39836-S,18-46494-S,21-13573-B,47-53161-S,66-171-S
ní sī bǎo	13-42933-S
ní sī shì	47-53237-S
ní sī shāng rén	18-46551-S
ní sū dá	31-23245-S
ní sū dá zhōu	31-23308-S
ní tuò shēng	6-2988-B
ní tuō bā	69-35999-S
ní tàn	37-43329-B
ní tè	4-48554-S
ní tè yòu qí	55-38194-S
ní tè zuǒ qí	55-38299-S
ní tǔ	37-42769-B
ní wéi sī	51-45439-S
ní wān	11-483-S
ní wāng	43-49365-S
ní xuě fū sī jī	60-59386-S
ní xī lín	45-10732-S
ní xī mǐ jì	21-13383-B
ní xī yà	11-18939-S,20-3485-S,37-37583-S,42-41707-S,47-53316-S
ní xī yà yǔ	11-19011-S
ní yuán	19-52760-S
ní yà	3-63643-S,5-3377-S,9-51879-S,9-57285-S,11-8377-S,11-13363-S,15-53082-S,16-17356-S,25-35947-S,27-24834-S,30-41525-S,30-45348-S,30-45435-S,36-15459-S,37-38930-S,49-16096-S,50-63215-S,52-13444-S,57-17179-S,59-55200-S,59-55825-S,62-53248-S,66-5012-S,66-6580-S,66-7859-S
