off limbs as punishment	46-37501-S
off line	62-15016-B
off load cargo	11-27847-S
off lüshun 旅順 旅顺 on the tip of the liaoning peninsula	55-59737-S
off machinery	9-26553-S
off more than one can chew	59-38910-S
off offer	1-12737-S
off old ideas etc	29-30386-S
off one another	66-48071-S
off one s abilities	67-46431-S
off one s good looks shamelessly	53-17287-S
off one s hands	8-44147-S
off one s hat 成语 saw	24-53585-S
off one s means of retreat	46-20447-S
off one s nose to spite one s face	14-59606-S
off one s property	59-11660-S
off one s shoulders	11-27594-S
off one s talent	40-29753-S
off or out of a bus	1-63251-S
off other people s opinions as one s own	27-53744-S
off outer layer	9-29165-S
off platform	61-63659-S
off player for a foul	8-38622-S
off point	26-16066-S,60-44654-S
off price	3-19144-S
off rebuffed	26-49201-S
off relations	49-47723-S
off relations with	37-330-S
off restraint	25-544-S
off road vehicle	60-28030-B
off sb s cap 成语 saw	23-47088-S
off season	38-43429-B
off site emergency	16-13319-B
off site monitoring	62-63302-B
off soccer	65-38946-S
off something to advantage	40-40878-S
off steam	12-60399-S
off sth	27-10790-S
off studying	61-14538-S
off the beaten track	4-16593-B,42-21881-S
off the country	65-29095-S,65-29378-S
off the ears as punishment	9-10700-S
off the effect of drink	57-52500-S
off the feet	6-60354-S
off the feet as punishment	8-65612-S
off the flesh as punishment	9-31540-S
off the fujian coast	64-16882-S,64-16961-S
off the left ear of the slain	51-56327-S,69-24742-S
off the main topic	60-14649-S
off the nose	9-44771-S
off the press	8-41647-S
off the reins	52-34694-S
off the reins 成语 saw	52-34788-S
off the road	21-35102-S
off the stage	1-58915-S,1-62445-S
off to sleep	6-7661-S
off water	19-54987-S
off with	6-22478-S
off with clever talk	51-35395-S
off work	1-61717-S,6-22837-S,23-8041-S
off writing	41-4987-S
off writing midway	61-14783-S
off your coat honorific	20-27532-S
off 成语 saw	44-55024-S,45-15897-S
offal	1-60969-B,59-25493-S
offence	6-21976-S,35-59079-S,58-57092-S
offend	8-11413-S,13-52607-S,25-26786-S,42-2184-S,56-39363-S,57-54757-B
offend heaven and reason 成语 saw	6-43703-S
offend morals	42-38061-S
offend others	53-16747-S
offend others by endlessly repeating unpleasant remarks	5-59714-S
offend people	25-26903-S
offend sb	24-8863-S
offend the whole of society	69-59387-S
offended	43-22119-B
offender	6-21976-S,8-11456-B,47-2585-S,49-30913-S,60-7587-S
offenders	2-17239-B
offending	58-53282-S
offending morality	14-12167-B
offending public morals 成语 saw	6-45265-B
offending sb	46-43440-S
offending the eye	46-43152-B
offense	1-67077-S,4-23787-S,42-2872-B,43-22119-S,50-52322-B,50-52408-B
offense against the people of soldiers	47-15074-S
offense to the authorities	35-14143-S
offensive	11-49800-S,29-47335-S,32-33986-B
offensive of august december 1940	44-52173-S
offensive talk or manner	14-12480-S
offensive to the eye	2-36099-B
offer	1-12737-S,5-21899-B,5-22308-S,10-11858-S,13-8106-S,18-2671-S,25-61133-S,27-43207-S,27-43252-S,28-3547-B,30-10964-S,42-25980-S,65-30212-S
offer a carrot	18-48850-S
offer a cigarette to a guest	30-11668-S
offer a gift	8-34882-S
offer a humble remark	27-27976-S
offer a return banquet	63-10015-S
offer a reward	26-3147-B
offer an apology	59-57779-S
offer an explanation	61-37774-B
