剛巧 刚巧	9-27726-B
剛度 刚度	9-27799-B
剛強 刚强	9-27842-B
剛性 刚性	9-27894-B
剛愎自用 刚愎自用	9-27938-B
剛果 刚果	9-28002-B
剛果民主共和國 刚果民主共和国	9-28042-B
剛果河 刚果河	9-28160-B
剛架 刚架	9-28216-B
剛正 刚正	9-28262-B
剛毅 刚毅	9-28313-B
剛毅木訥 刚毅木讷	9-28374-B
剛毛 刚毛	9-28490-B
剛玉 刚玉	9-28532-B
剛直 刚直	9-28584-B
剛纔 刚才	9-28640-B
剛體 刚体	9-28694-B
剜	9-28738-S
剜 剜	9-28738-B
剝 剥	9-28770-B
剝削 剥削	9-28804-B
剝削者 剥削者	9-28860-B
剝啄 剥啄	9-28924-B
剝奪 剥夺	9-28983-B
剝掉 剥掉	9-29046-B
剝採比 剥采比	9-29084-B
剝皮 剥皮	9-29165-B
剝皮器 剥皮器	9-29237-B
剝落 剥落	9-29307-B
剝蝕 剥蚀	9-29348-B
剝離 剥离	9-29395-B
剞	9-29437-S
