toronto	16-53520-B
torpedo	70-38450-B
torpedo boat	70-38490-B
torque	9-47083-B,26-54188-B,26-54453-B,31-686-B,61-26192-B,61-28598-B
torque arm	61-26233-B
torrent	24-59395-B,37-3915-S,40-12896-S,51-23880-S
torrent dash	39-30354-B
torrent of mud and stones	37-43597-B
torrent of rain	67-41042-B
torrent 成语 saw	39-30442-S
torrential	39-30398-B
torrential floods	38-10650-B
torrential rain	32-612-B,40-15975-B
torrential rush	37-63132-B
torrents	6-48230-S,6-48284-S
torrents rush down	18-7337-S
torrents 成语 saw	54-45956-S
torreya nucifera	34-20248-B,34-40057-B
torrid heat	63-44446-B
torsion	26-54188-B
torsion of a space curve	29-9233-S
torso	32-67517-B,52-24129-B,60-55088-B,60-58196-B
tort	5-27579-B
tortilla chips	16-54210-S
tortoise	40-40453-B,42-33182-B,64-17988-B,71-63587-B
tortoise of the record bureau	8-7926-S
tortoise shell	11-11487-S,40-40502-B,42-41443-B,71-63705-B
tortoise shell and animal bones used in divination	43-42180-B
tortoise the seven mansions of north sky	42-27749-S
tortoiseshells or animal bones	11-11642-S
tortuous	45-11171-B,56-17392-B,61-43556-B,61-49961-B
tortuous road	45-12453-B
torture	11-65170-S,27-50496-S,27-50559-S,28-35614-S,28-35675-S,37-6523-S,41-17490-B,46-39366-S,63-44397-B,63-56320-S
torture and execution	30-38177-S
torture instrument	17-70768-S,17-70911-S,34-1309-B,34-1417-B
torture instruments	8-64377-B
tortured	11-60213-B
toshiba	33-23352-B
toshiki kaifu	38-25539-B
toshimichi 1830 1878	17-4712-S
toss	27-27154-S,27-27355-S,29-28694-S
toss a peach	27-2180-B
toss a salad	27-28669-S
toss and turn	11-44209-S
toss and turn sleeplessly	51-20885-S
toss as waves	48-39807-B
toss e g sleeplessly	61-19845-S
toss from side to side e g sleeplessly	27-11145-S
tossed by wind or wave	68-59742-B
tossing of billows	40-19508-B
tossing or winnowing	28-44489-S
tostoy 1828 1910	8-66232-S,26-52026-S
totake in the hand	28-53684-B
total	7-38792-B,7-42531-B,7-70231-B,7-73185-S,12-37520-S,30-14808-B,33-65584-B,33-66177-B,49-51603-S,49-64231-S,50-31603-B,50-31987-S,50-33458-S,50-35872-S,50-35973-B,50-36491-B,54-49897-S
total absence of justice	31-62024-B
total amount or value	50-36373-B
total annihilation	35-8537-B
total area	50-36160-B
total authority	7-37962-B
total ban	7-42605-B
total costs	50-33183-B
total credits earned by student	47-38710-B
total eclipse	7-41407-B,7-42899-B
total energy	50-35552-B
total form	19-37213-B
total illiterate	2-30061-B
total income from sales	64-33641-B
total mess	1-5398-S
total output value	43-27869-B
total price	50-31869-B
total profit	50-33286-B
total requirement of society	46-49557-B
total return	50-32817-B
total shadow	7-36565-B
total success	39-41096-S
total value	50-31823-B
total victory	7-34457-B,17-27686-S
totalitarianism	34-35329-B
totality of human attributes	4-9383-S
totally	19-36682-B,49-53010-B,50-36491-B,58-29452-S
totally different	17-49818-B
totally dispersed crowd	30-9434-S
totally effective	44-50881-B,44-51541-B
totally illiterate	45-15767-B
