ji2 zhi4	24-59275-B
ji2 zhi4 du4	20-22102-S,48-19178-S
ji2 zhi4 sheng1	25-13805-S
ji2 zhong1	66-56610-B
ji2 zhong1 de5 ce4 lu:e4	66-56845-B
ji2 zhong1 qi4	66-56723-B
ji2 zhong1 sheng1 zhi4	24-57268-B
ji2 zhong1 xue2	9-1288-S,70-19666-S
ji2 zhong1 ying2	18-14364-S,66-56780-B
ji2 zhong1 zhi4	36-18778-S
ji2 zhou1	11-0-S
ji2 zhou1 ban4 dao3	11-55-S
ji2 zhou2	34-36070-B
ji2 zhou4	24-60460-B
ji2 zhu4	66-58644-B
ji2 zhuan1 yuan2	70-19832-S
ji2 zhuan3	24-59946-B
ji2 zhuan3 wan1	24-60012-B
ji2 zhuan3 zhi2 xia4	24-60079-B
ji2 zhuang1 xiang1	66-59360-B
ji2 zhuang1 xiang1 chuan2	66-59433-B
ji2 zhuang4 tai4	25-59741-S,50-14610-S
ji2 zi1	52-10768-S,66-59595-B
ji2 zi1 e2	66-59661-B
ji2 zi3	46-34975-S
ji2 zi4 jie2	12-39297-B
ji2 zi5	66-57324-B
ji2 zou3	44-7509-B
ji2 zou3 lang2	60-22715-S
ji2 zui3 ji2 she2	24-57906-B
ji2 zuo4	10-73184-S
ji2 zuo4 biao1	34-34875-B
ji2 zuo4 biao1 xi4	34-34945-B
ji3	1-32276-S,2-20939-S,2-39272-S,2-75555-S,2-79367-S,3-1022-B,4-25064-S,4-25569-S,5-9773-S,5-22852-S,8-28908-B,9-17383-S,10-46834-S,11-50999-S,13-7340-S,17-24948-S,17-34938-S,17-35029-S,18-2800-S,18-25934-S,18-28128-S,18-48472-S,19-24558-S,20-11691-S,21-20528-S,21-32243-S,22-1372-B,22-55842-B,25-32798-S,26-12948-S,26-13188-S,26-15122-B,27-68380-S,28-6773-S,28-14841-B,28-16331-S,28-52200-S,29-17757-S,29-25149-B,31-30345-S,32-57858-S,34-35399-S,37-49022-B,37-49506-S,37-51801-S,45-63273-S,45-63445-S,48-61688-S,49-49153-B,50-31761-S,50-58524-S,52-18353-S,52-30555-B,53-5098-S,53-12932-S,56-17844-B,56-58507-S,57-35580-S,58-18993-S,58-62318-S,60-48044-B,60-54554-S,60-55228-S,71-8889-B
ji3 ba1 er3	34-7025-S
ji3 bai3	22-58168-B
ji3 bei4	22-57073-B,52-31310-B
ji3 chou3	22-1496-B
ji3 ci4	22-57858-B
ji3 ci4 san1 fan1	22-57903-B
ji3 dao3	30-32254-S
ji3 dao4	29-25228-B
ji3 dian3 le5	22-58266-B
ji3 feng4 gong1	9-17453-S
ji3 fu4 li3	7-15935-S
ji3 ge2	44-53504-S
ji3 ge4 yue4	10-46896-S
ji3 ge5	22-56877-B
ji3 ge5 xiao3 shi2	22-56930-B
ji3 ge5 yue4	22-56997-B
ji3 hai4	22-1571-B
ji3 he2	4-31458-S,7-27093-S,8-52782-S,20-35044-S,22-46283-S,22-56343-B,24-18103-S,27-1364-S,35-27752-S,43-58776-S,47-62217-S,50-57726-S,50-59675-S,57-50532-S,67-65893-S,71-27079-S
ji3 he2 guang1 xue2	22-56383-B
ji3 he2 liang4	22-56814-B
ji3 he2 shi2	32-15821-S
ji3 he2 tuo4 pu1	22-56578-B
ji3 he2 tuo4 pu1 xue2	22-56657-B
ji3 he2 xian4	22-56747-B
ji3 he2 xue2	4-31530-S,7-27165-S,8-52853-S,20-35118-S,22-56527-B,24-18178-S,27-1472-S,35-27823-S,35-28145-S,57-50622-S,67-65968-S,71-27159-S
ji3 ji3 yi1 tang2	40-9759-B
ji3 jia1 zu2	4-15677-S
ji3 jian4	12-29502-S,12-29586-S
ji3 jin4	29-25510-B
ji3 jing1	22-1923-B,61-67054-S
ji3 ke1	17-18328-S
ji3 lei4	52-31270-B
ji3 li3 de2	35-27520-S,35-27604-S
ji3 liang5	26-22970-S,52-30905-B
ji3 liang5 gu3	26-23057-S,52-30953-B
ji3 man3	29-25342-B
ji3 mao3	22-1646-B
ji3 mei2 nong4 yan3	29-25394-B
ji3 nei4 ya4	30-48276-S
ji3 nian2	18-28180-S,22-57632-B,32-21361-S
ji3 nian2 lai2	22-57691-B
ji3 nian2 qian2	12-7775-S
ji3 qian1	22-57470-B
ji3 ren2	53-5158-S
ji3 ren2 zu2	19-63788-S
ji3 ru4	29-25189-B
ji3 shi2	22-57762-B
