伽羅瓦理論 伽罗瓦理论	4-63941-S
体格检查	70-7833-S
佔 sometimes used as traditional character	11-12109-B
余	69-14886-S
佛	4-24632-S
作为	6-15435-S
作為 作为	6-15435-S
來復槍 来复枪	5-18723-S
來福槍 来福枪	5-17932-S
供血	28-4324-S
供血者	28-4394-S
侠客 in fiction	60-54554-S
係 系	50-39628-S
俊 outstanding	6-54597-S
俗体字	5-33212-S
俗字 differs	35-40641-S
俗语 common expression	19-64414-S
俗语 common saying	13-45271-S,19-61691-S
俗语 saying	13-28660-S
俗谚 common saying	1-6909-S,20-31887-S
俗體字 俗体字	5-33212-S
俚語 俚语	5-33889-S
俚语	5-33889-S
保鏢 保镖	5-40606-S
保镖	5-40606-S
俠客 侠客 in fiction	60-54554-S
信報財經新聞 信报财经新闻	5-43199-S
信报财经新闻	5-43199-S
信阳	7-8492-S,7-8570-S,13-58701-S,13-58781-S,14-64455-S,14-64525-S,25-5003-S,30-53688-S,38-47627-S,38-47701-S,39-61198-S,39-61278-S,50-57144-S,50-57218-S
信阳市	22-42259-S,38-8234-S
信陽 信阳	7-8492-S,7-8570-S,13-58701-S,13-58781-S,14-64455-S,14-64525-S,25-5003-S,30-53688-S,38-47627-S,38-47701-S,39-61198-S,39-61278-S,50-57144-S,50-57218-S
信陽市 信阳市	22-42259-S,38-8234-S
俱	6-3919-S
俱乐部	59-2815-S
俱樂部 俱乐部	59-2815-S
倅	4-57188-S
倉皇 仓皇	55-4335-S
個 个 classifier	3-28609-S
個 个 ge4	33-58331-S,50-42830-S,54-17442-S,65-21183-S
倏	6-59972-S
倒背手	5-60165-S
候 hou4	5-26354-S
候选人	5-26596-S
候選人 候选人	5-26596-S
候風地動儀 候风地动仪	15-38912-S
候风地动仪	15-38912-S
倫敦 伦敦	14-45072-S
假	4-39591-S
做人	5-5561-S
停业	35-25037-S
停業 停业	35-25037-S
偽 伪	6-51204-S
傢俱 家具	19-61108-S
傳 传	4-57225-S
僱員 雇员	66-60766-S
價 价	5-26000-S
儒勒·凡尔纳	7-49388-S
儒勒·凡爾納 儒勒·凡尔纳	7-49388-S
儒家	3-20129-S
儿	7-21652-S
儿 added to a word in spoken chinese	7-21793-S,7-21924-S
儿 erhua	37-26491-S
元勋	6-61125-S
元勳 元勋	6-61125-S
元宵節 元宵节	31-34043-S,53-58238-S
元宵节	31-34043-S,53-58238-S
元素周期表	62-27384-S
元素週期表 元素周期表	62-27384-S
充飢 充饥	7-810-S
充饥	7-810-S
光复会	24-13889-S
光宗耀祖	34-40912-S
光復會 光复会	24-13889-S
光盘	7-10402-S
光盘驱动器	7-14222-S
光盤 光盘	7-10402-S
光盤驅動器 光盘驱动器	7-14222-S
光緒 光绪	61-7463-S
光绪	61-7463-S
光驅 光驱	7-11231-S
光驱	7-11231-S
