連續劇 连续剧 [01\[ lián xù jù\]]	serialized drama;dramatic series;show in parts
連續性 连续性 [01\[ lián xù xìng\]]	continuity
連續監視 连续监视 [01\[ lián xù jiān shì\]]	continuous monitoring
連續統假設 连续统假设 [01\[ lián xù tǒng jiǎ shè\]]	(math.) the continuum hypothesis
連續譯碼階段 连续译码阶段 [01\[ lián xù yì mǎ jiē duàn\]]	sequential decoding stage
連續變調 连续变调 [01\[ lián xù biàn diào\]]	tone sandhi
連續集 连续集 [01\[ lián xù jí\]]	tv series
連翹 连翘 [01\[ lián qiáo\]]	forsythia
連耞 连耞 [01\[ lián jiā\]]	flail;to thresh (using a flail)
連聲 连声 [01\[ lián shēng\]]	coherent;successive voices agree with one another;to echo
連衣裙 连衣裙 [01\[ lián yī qún\]]	woman's dress;frock;gown
連詞 连词 [01\[ lián cí\]]	conjunction
連貫 连贯 [01\[ lián guàn\]]	strung together as a series
連載 连载 [01\[ lián zài\]]	serialized;published as a serial (in a newspaper)
連通 连通 [01\[ lián tōng\]]	to connect;to communicate;to relate
連通器 连通器 [01\[ lián tōng qì\]]	communicating vessels (in scientific experiment)
連連 连连 [01\[ lián lián\]]	repeatedly;again and again
連鎖 连锁 [01\[ lián suǒ\]]	chain
連鎖反應 连锁反应 [01\[ lián suǒ fǎn yìng\]]	chain reaction
連鎖店 连锁店 [01\[ lián suǒ diàn\]]	chain store
連鑣并軫 连镳并轸 [01\[ lián biāo bìng zhěn\]]	lit. reins together and carriages level (成语 saw); keeping exactly abreast of one another;running neck and neck
連隊 连队 [01\[ lián duì\]]	company (of troops)
連雲港 连云港 [01\[ lián yún gǎng\]]	lianyungang prefecture level city in jiangsu
連雲港市 连云港市 [01\[ lián yún gǎng shì\]]	lianyungang prefecture level city in jiangsu
連體嬰 连体婴 [01\[ lián tǐ yīng\]]	conjoined twins
逭 逭 [01\[ huàn\]]	escape from
逮 逮 [01\[ dǎi\]]	arrest;catch;seize;until
逮 逮 [01\[ dài\]]	catch;seize;until
逮捕 逮捕 [01\[ dài bǔ\]]	arrest
逯 逯 [01\[ lù\]]	surname lu;go carefully
週 周 [01\[ zhōu\]]	cycle;week
週一 周一 [01\[ zhōu yī\]]	monday
週三 周三 [01\[ zhōu sān\]]	wednesday
週二 周二 [01\[ zhōu èr\]]	tuesday
週五 周五 [01\[ zhōu wǔ\]]	friday
週六 周六 [01\[ zhōu liù\]]	saturday
週刊 周刊 [01\[ zhōu kān\]]	weekly publication;weekly
週到 周到 [01\[ zhōu dào\]]	thoughtful;considerate
週四 周四 [01\[ zhōu sì\]]	thursday
週圍 週圍 [01\[ zhōu wéi\]]	variant of 周圍|周围
週年 周年 [01\[ zhōu nián\]]	anniversary;annual
週徑 周径 [01\[ zhōu jìng\]]	circumference and radius;the circular ratio pi
週日 周日 [01\[ zhōu rì\]]	sunday
週期 周期 [01\[ zhōu qī\]]	period;cycle
週期性 周期性 [01\[ zhōu qī xìng\]]	(math.) periodicity;cyclicity
週期數 周期数 [01\[ zhōu qī shù\]]	periodic number
週期系 周期系 [01\[ zhōu qī xì\]]	periodic system;cf periodic table of the elements 元素週期表|元素周期表
週期表 周期表 [01\[ zhōu qī biǎo\]]	the periodic table
