niǎo	4-62958-S,5-63182-S,6-44103-S,8-47104-S,12-4524-S,13-57477-S,17-2045-S,18-38793-S,18-58540-B,18-61775-B,18-62349-B,21-2768-S,24-69603-S,25-33955-S,26-50771-S,33-10807-S,34-25112-S,34-44552-S,36-48083-S,38-35195-S,39-2183-S,39-60761-S,40-22473-S,42-1104-S,43-53071-S,43-58911-S,44-58251-S,45-63790-S,46-53843-S,47-10650-S,48-44465-S,53-61711-S,54-30478-S,55-13244-B,56-3562-S,56-55558-B,63-4695-S,66-52611-S,67-24691-S,69-1162-S,69-60774-S,69-64111-S,70-49367-B,70-53152-S,70-54237-S,70-58394-S,71-910-S
niǎo 5r	70-49395-B
niǎo biāo líng	70-49478-B
niǎo cháo	70-49629-B
niǎo chòng	70-51155-B
niǎo chóng shū	70-50856-B
niǎo dào	70-51070-B
niǎo fèn	70-50706-B
niǎo jiàn yuán	48-44513-S
niǎo jiào shēng	56-19145-S
niǎo jìn gōng cáng	70-50338-B
niǎo jī	70-49956-B
niǎo kàn	70-50420-B
niǎo kǒng lóng	4-63001-S
niǎo luǎn	70-49432-B
niǎo lèi	46-53903-S,70-51202-B
niǎo lèi xué	70-51242-B
niǎo lèi xué huì	7-35639-S
niǎo lóng	70-50662-B
niǎo qiāng	70-49757-B
niǎo qiāng huàn pào	70-49821-B
niǎo qín	70-50489-B
niǎo rén	45-39958-S
niǎo shí dài	69-1201-S
niǎo shòu	54-14948-S,70-50071-B
niǎo shòu sàn	70-50129-B
niǎo sōng xiāng	70-49676-B
niǎo wō	70-50528-B
niǎo wū	70-49586-B
niǎo xiān fēi	48-7938-S
niǎo yuān guó jiā gōng mù	10-52554-S
niǎo yì	70-50208-B
niǎo yī yī yuán tǐ	70-50252-B
niǎo yǔ	70-50761-B
niǎo yǔ huā xiāng	70-50916-B
niǎo zhuàn	70-50573-B
niǎo zuǐ	70-49547-B
niǎo zǎo pén	70-50017-B
niǎo àn suān	70-50801-B
niǔ	24-50439-B,26-54070-B,27-63406-S,31-1721-S,33-26944-B,34-57141-S,35-50110-S,40-3648-S,42-5591-B,49-18513-B,49-48548-S,61-26969-S,64-21542-B,67-38431-S
niǔ bǎi	26-54366-B
niǔ dài	49-18777-B,64-21583-B
niǔ fēn lán	49-19667-B
niǔ fēn lán yǔ lā bù lā duō	49-19731-B
niǔ jiǎo líng	26-54506-B
niǔ jī nèi yà	49-18824-B
niǔ jǔ	26-54453-B
niǔ kòu	49-18905-B
niǔ kǎ sù	49-18725-B
niǔ kǎ sī ěr	49-18650-B
niǔ lì	26-54188-B
niǔ lún bǎo	49-18583-B
niǔ nie	26-54319-B
niǔ niē niē	26-54249-S
niǔ niǔ	35-50110-S
niǔ niǔ niē niē	26-54249-B
niǔ qū	26-54408-B
niǔ shāng	26-54126-B
niǔ sī	50-4115-S
niǔ tè	14-61639-S
niǔ tè rén	14-61758-S
niǔ xī lán	49-19852-B
niǔ yuē	49-18945-B
niǔ yuē dà xué	49-19042-B
niǔ yuē dì guó dà shà	49-19292-B
niǔ yuē kè	49-19116-B
niǔ yuē rén	49-18987-B
niǔ yuē shì	49-19234-B
niǔ yuē shí bào	49-19389-B
niǔ yuē yóu bào	49-19586-B
niǔ yuē zhèng quàn jiāo yì suǒ	49-19471-B
niǔ yuē zhōu	49-19174-B
niǔ zhuǎn	26-54593-B
niǔ āi ěr	53-48359-S
nong	1-56309-S,2-82346-S,3-59609-S,4-64443-S,5-26078-S,5-56009-S,6-54646-B,9-59727-S,10-11634-S,10-60015-S,14-30535-S,14-30535-S,14-32255-S,14-34796-B,21-57389-S,22-22290-S,23-23323-B,25-18338-S,25-31472-S,26-21187-S,27-64662-S,28-2348-S,28-55170-S,28-58280-S,29-12188-S,29-15460-S,29-15460-S,29-29869-S,33-37983-S,38-5513-S,40-6754-B,40-24183-S,42-39130-S,43-16059-S,45-11012-S,46-61604-S,47-41246-B,48-60019-S,48-60019-S,49-462-S,52-51436-B,53-32459-S,53-61162-S,54-30427-S,55-11107-S,55-28266-S,57-10543-B,58-37224-S,59-36959-S,59-37063-S,61-39394-B,62-3972-S,63-51324-B,64-1540-S,71-53000-B
nong bao	47-56528-S,52-51463-B
nong bu qing	23-23430-B
nong chan	61-42319-B
nong chan pin	61-42388-B,67-68088-S
nong chang	10-1182-S,17-36024-S,61-39996-B
nong ci zao	42-39217-S
nong cun	61-40900-B
nong cun he zuo hua	61-40953-B
nong cuo	23-24450-B
nong dai	61-42722-B
nong dan	40-7028-B
nong dao	23-23627-B
nong dao shou	23-23707-B
nong de meng	61-40614-B,61-42863-B
nong di	61-39954-B
nong du	40-6892-B
nong duan	23-24215-B
nong fu	42-48260-S,61-40037-B,61-40123-B
nong gong	61-40491-B
nong gui	57-360-S
nong hou	40-6796-B
nong hu	61-40673-B
nong huai	23-23836-B
nong hui	61-40809-B
nong huo	61-42275-B
nong ji	40-7651-B,61-41966-B
nong ji you	40-7709-B
nong jia	61-39754-B
nong jia cheng zhen	23-23495-B
nong jia lin qu	46-61662-S
nong jia ting yuan	61-40424-B
nong jiao yu	12-69761-S
nong ju	61-39848-B
nong li	61-40724-B
nong lie	40-7138-B
nong mao shi chang	61-42789-B
nong mei da yan	40-7232-B
nong mi	40-6847-B
nong min	61-42022-B
nong min gong	61-42064-B
nong min qi yi	61-42126-B
nong ming bai	23-23940-B
nong nu	61-40085-B
nong pao	9-59793-S,52-51556-B,52-51626-B
nong ping	23-23897-B
nong qing	23-24061-B
nong qu	44-41181-S
nong ren	61-39557-B
nong ruan yu	12-69879-S
nong sang	61-41166-B
nong se	2-45849-S
nong she	61-42515-B
nong shen miao	22-22369-S,22-22816-S
nong shi	2-34820-S,10-11692-S,46-61764-S,61-39429-B
nong shi fei	28-58358-S
nong shi huo dong	61-39476-B
nong sui	23-24269-B
nong suo	40-7315-B,64-22560-S
nong suo ji	40-7453-B
nong suo ka fei	25-29055-S
nong suo you	4-68458-S,40-7547-B,70-17677-S
nong tian	61-42455-B
nong wai	23-24019-B
nong wu	40-7770-B
nong xiang	40-7813-B
nong xing	10-24553-S
nong xu zuo jia	23-24351-B
nong xuan xu	29-60107-S
nong xue	61-40207-B
nong yan	29-25394-S,40-7186-B
nong yao	40-62544-S,61-42652-B
nong ye	61-41251-B,63-42940-S
nong ye bu	61-41783-B
nong ye he zuo hua	61-41367-B
nong ye ji ti hua	61-41852-B
nong ye ji xie	61-41484-B
nong ye qu	61-41304-B
nong ye sheng chan he zuo she	61-41657-B
nong ye xian dai hua	61-41561-B
nong yi	61-42607-B
nong yu	40-7080-B,40-7876-B
nong yu shui	56-27146-S
nong yuan	61-39908-B
nong zang	23-24541-B
nong zao	23-24311-B
nong zhen	51-7912-S
nong zhi	23-24170-B
nong zhong	40-7609-B
nong zhou	23-24127-B
nong zhuang	61-42559-B
nong zu	22-17849-S
nong zuo wu	61-39598-B
nong zuo wu pin zhong	61-39655-B
nong2	1-56309-S,2-82346-S,3-59609-S,4-64443-S,6-54646-B,9-59727-S,10-11634-S,10-60015-S,14-34796-B,21-57389-S,22-22290-S,25-18338-S,33-37983-S,38-5513-S,40-6754-B,40-24183-S,43-16059-S,46-61604-S,47-41246-B,49-462-S,52-51436-B,53-61162-S,54-30427-S,55-11107-S,55-28266-S,57-10543-B,59-36959-S,59-37063-S,61-39394-B,63-51324-B,64-1540-S,71-53000-B
nong2 bao1	47-56528-S,52-51463-B
nong2 chan3	61-42319-B
nong2 chan3 pin3	61-42388-B,67-68088-S
nong2 chang3	10-1182-S,17-36024-S,61-39996-B
nong2 cun1	61-40900-B
nong2 cun1 he2 zuo4 hua4	61-40953-B
nong2 dai4	61-42722-B
nong2 dan4	40-7028-B
nong2 de2 meng4	61-40614-B,61-42863-B
nong2 di4	61-39954-B
nong2 du4	40-6892-B
nong2 fu1	61-40037-B
nong2 fu4	61-40123-B
nong2 gong1	61-40491-B
nong2 hou4	40-6796-B
nong2 hu4	61-40673-B
nong2 hui4	61-40809-B
nong2 huo2	61-42275-B
nong2 ji1	61-41966-B
nong2 ji2	40-7651-B
