lexicography	61-36740-B
like minded person in distress	53-50755-S,53-50932-S
like mortise and tenon	65-11213-S
like named	45-27190-B
like old woman	18-37706-S
like pearl beads	42-45112-S
like persimmon	39-65152-S
like rain 成语 saw	36-56328-S
like sinbad s roc	69-50514-S
like smoke in thin air	41-2530-S
like stars in the sky or chess pieces on a board 成语 saw	31-31406-S
like sth	32-31437-S
like stocks used to restrain and punish criminals in china	33-39709-S
like stone	42-37455-S,42-42554-S,43-3832-S
like teeth of a comb	35-16672-S
like that	41-43120-B,63-17773-B
like the back of one s hand	3-28416-S
like the immortals advertising real estate	37-65340-S
like the new	14-8456-S
like the wind	23-61825-S
like this	3-9177-B,40-65802-B,62-5747-S,62-6567-B,62-6705-B
like tiles	8-18661-S
like utensil	48-34821-S
like water	28-50441-S
like we have known each other all along	45-30751-S
like weapon	70-405-S
like wild animal	42-15313-S
like wild beasts	42-9857-S
like wildfire	2-25383-S,2-26091-S,18-31059-S,25-18892-S,64-3729-S
likelihood	16-54750-B
likely	2-28243-S,5-34166-S,7-51396-S,19-65554-B,30-35114-S,58-16475-S
likely than not	5-34166-S,5-34250-S,5-34343-S
likes	4-42048-S,45-8392-S
likes and dislikes	14-8271-B,25-41205-B
