xing ren	5-49003-S,15-65682-S,16-48431-S,24-58373-S,33-6406-B,40-21575-S,44-33502-S,56-31257-B,64-11165-S
xing ren an quan dao	56-31302-B
xing ren dou fu	33-6455-B
xing ren gan	53-67638-S
xing ren jing	56-31402-B
xing ren shi	2-20473-S,25-40770-S,42-55017-S
xing rong	23-53971-B,40-55923-S,53-24819-B
xing rong ci	23-54034-B,23-54089-B
xing sao rao	24-63564-B
xing se se	23-54283-S
xing shan	43-5549-S,56-32114-B
xing shang	23-53659-B
xing she	30-68610-S
xing shen	22-51447-B,23-55133-B
xing sheng	23-53820-B,53-24936-B
xing sheng huo	24-62775-B
xing sheng ming	16-48506-S
xing sheng yu	60-21564-S
xing sheng zhi	32-33096-S
xing sheng zi	23-55344-B
