bao1	2-71653-S,6-50793-S,8-6484-S,10-13136-B,11-25604-S,11-33899-S,11-42064-S,11-62358-S,12-51194-S,12-65201-S,14-20616-S,14-24687-S,14-24802-S,15-23513-S,16-38780-S,16-45180-S,16-57298-S,16-62288-S,17-9536-S,18-8436-S,19-1918-S,19-11373-B,20-61494-S,20-61786-S,20-68723-S,21-3024-S,21-3087-S,21-60958-S,22-52825-S,24-31206-S,24-62977-S,26-33751-S,26-41320-S,26-60729-S,27-63971-S,28-37874-S,32-10083-S,34-61244-S,34-61493-S,38-26019-S,38-38115-S,38-40901-S,39-48967-S,40-42673-S,40-52854-S,41-10698-B,41-11986-S,41-26338-S,43-21897-S,44-43997-S,44-64733-S,46-60230-S,46-60618-S,47-56528-S,48-48396-S,48-48480-S,49-8543-S,49-12160-S,49-32436-S,52-16949-S,52-20128-B,52-40593-S,52-51463-S,53-65543-B,54-10882-S,54-13820-S,54-61973-S,56-28099-S,57-7291-B,57-9591-B,58-3807-S,60-37696-S,61-1992-S,62-19188-S,63-25321-S,64-44453-S,68-48528-S,69-24970-S,71-13464-S
bao1 ai2	15-68552-S
bao1 ban4	10-18620-B
bao1 ban4 dai4 ti4	10-18713-B
bao1 ban4 hun1 yin1	10-18840-B
bao1 bei4	10-17962-B
bao1 bi4	10-14941-B,49-32933-S
bao1 bing4 du2	21-61820-S
bao1 bing4 du2 shi4 wang3 mo4 yan2	21-61906-S
bao1 bu4 zhu4 huo3	49-21694-S
bao1 cang2	10-17616-B
bao1 cang2 huo4 xin1	10-17682-B,53-65639-B
bao1 ceng2	10-14261-B
bao1 chan3	10-16466-B
bao1 chan3 dao4 hu4	10-16527-B
bao1 chan3 dao4 hu4 zhi4	10-16630-B
bao1 chang3	10-13953-B
bao1 chao1	10-15469-B
bao1 che1	10-18563-B,71-13672-S
bao1 cheng2	10-13311-B
bao1 cheng2 zhi4	10-13364-B,10-15335-B
bao1 cheng2 zu3	10-13428-B,10-15405-B
bao1 chuan2	10-17563-B
bao1 da3 tian1 xia4	10-15175-B
bao1 da4 lan3	17-8188-S
bao1 dan4	54-19628-S
bao1 du2	49-33097-S
bao1 du2 xing4	49-33149-S
bao1 er5	44-8935-S
bao1 fan4	10-19562-B
bao1 fang2	10-15066-B
bao1 fen1 lie4	49-32473-S
bao1 feng1	10-14185-B
bao1 fu2	52-17038-S
bao1 fu5	10-18031-B,24-54834-S
bao1 fu5 di3 r5	10-18121-B
bao1 gan1	10-14586-B
bao1 gan1 er5	10-14710-B
bao1 gan1 zhi4	10-14843-B
bao1 gan3 jun1	52-5844-S
bao1 gong1	10-14326-B
bao1 gong1 tou2	10-14468-B
bao1 gu3	10-17096-B
bao1 gu3 jia4	49-33533-S
bao1 guan3	10-17139-B
bao1 guo3	10-18370-B
bao1 guo3 fu2 wu4 gong1 si1	51-58165-S
bao1 han2	10-13621-B,10-16357-B
bao1 he2	49-33037-S
bao1 huan4	10-15840-B
bao1 huo3	10-13491-B
bao1 ji1	10-16203-B
bao1 jian1	10-19286-B
bao1 jiang1 jun1	54-23493-S
bao1 jiang1 jun1 bing4	49-38962-S
bao1 jiao3	10-13550-B
bao1 jin1	10-14536-B,10-19025-B
bao1 ju3	10-17486-B
bao1 jun1	68-36966-S
bao1 jun1 su4	68-37051-S
bao1 kuo4	10-15520-B
bao1 kuo4 nei4 zhi4 pei4 zhong4	10-15616-B
bao1 lan3	10-15926-B
bao1 lan3 ci2 song4	10-16004-B
bao1 luo2	10-17346-B
bao1 luo2 wan4 xiang4	10-17401-B
bao1 mei2 xi1 lei4 du2 su4	14-19994-S
bao1 mei2 xi1 lei4 du2 su4 zhong1 du2 zheng4	14-20110-S
bao1 mi3	10-17190-B
bao1 mi4 ding4	52-20168-B
bao1 mo2	49-33295-S
bao1 nang2	10-13686-B
bao1 pei2	10-18434-B
bao1 pei2 yang3	49-32784-S
bao1 pei2 yang3 qi4	49-32852-S
bao1 pi2	9-33992-S,10-16743-B,71-13622-S
bao1 pi2 huan2 qie1	10-16801-B
bao1 pi2 huan2 qie1 shu4	10-16869-B
bao1 piao4	10-16948-B
bao1 pin2 xue4	65-1633-S
bao1 qi4	49-32606-S
bao1 qi4 guan1	49-32658-S
bao1 r5	16-34747-S
bao1 ren2	26-60773-S
bao1 rong2	10-14060-B,17-16864-S
bao1 rong2 he2	49-33414-S
bao1 se4 su4	49-33351-S
bao1 shen1 gong1	10-18498-B
bao1 sheng1 wu4	14-20696-S,16-62345-S
bao1 sheng1 wu4 xue2	49-33216-S
bao1 shi1 fu4	71-13504-S
bao1 shu1 pi2	10-16100-B
bao1 su4	10-17233-B,53-65596-B
bao1 tai1	43-60484-S,67-518-S
bao1 tan4	10-15779-B
bao1 tou2	10-19422-B
bao1 tuan2	7-30676-S
bao1 wei2	10-13731-B
bao1 xiang1	10-14996-B
bao1 xiao1	10-19174-B
bao1 xing2	8-31430-S,16-62988-S,35-34881-S
bao1 xing2 wei1 sheng1 wu4	11-33981-S
bao1 xiong1 mei4	12-51257-S
bao1 xue2	49-32985-S
bao1 xue4 zheng4	65-1861-S
bao1 yan2 jiu1	22-52878-S
bao1 yang2	57-7404-B
bao1 yi1	10-17796-B,52-20274-B
bao1 yi1 zhong3 zi5	10-17873-B
bao1 yi4	57-7553-B
bao1 yin1 zi3	49-32722-S
bao1 yin2	10-19084-B
bao1 yuan2 r5	10-13782-B,10-13860-B
bao1 yue4	10-16154-B
bao1 za1	10-15122-B,10-17276-B
bao1 zao3	14-20844-S,52-20235-B
bao1 zeng1 duo1 zheng4	14-18929-S
bao1 zha1	71-13565-S
bao1 zhi4	49-33480-S
bao1 zhi4 bai3 bing4	10-16270-B
bao1 zhou1 qi1	49-32541-S
bao1 zhuang1	10-18259-B
bao1 zhuang1 zhi3	10-18308-B
bao1 zi3	19-11401-B
bao1 zi3 da3 gou3	52-5283-S
bao1 zi3 jun1	11-36808-S
bao1 zi3 jun1 bing4	42-51638-S
bao1 zi5	10-14009-B,15-29879-S,36-26745-S
bao1 zu1	10-17004-B
bao2	8-20114-S,38-14220-S,55-17811-B,67-24806-B
bao2 ban3	55-18974-B
bao2 bao4	67-24879-B
bao2 bing3	55-20402-B
bao2 ceng2	55-18397-B
bao2 cui4	55-19728-B
bao2 jiu3	55-20034-B
bao2 pian4	55-19256-B
bao2 sha1	55-19566-B
bao2 tou4 jing4	55-19938-B
bao2 zai1	67-24922-B
bao2 zhi3	55-19613-B
bao2 zi5	67-24833-B
