yi3 wei2 chang2	51-17875-S
yi3 wei2 ran2	1-67242-S
yi3 wei4	3-16053-B
yi3 wu2 kao4	40-46578-S
yi3 xi1	1-36950-S,3-16241-B,14-51376-S,36-35475-S,36-36353-S,51-53390-S,51-54099-S,51-54878-S,51-55341-S,54-868-S
yi3 xia4	4-35758-B
yi3 xian1 an1 ji1 fen1	20-46627-S
yi3 xing2	3-15521-B
yi3 xing2 gan1 yan2	3-15575-B
yi3 xing2 nao3 yan2	3-15642-B
yi3 ya2 huan2 ya2	4-38100-B
yi3 yi4 dai4 lao2	4-39235-B
yi3 ying4 fu4	67-11322-S
yi3 you3	3-16898-B
yi3 zai4 dao4	30-25497-S
yi3 zhang4	5-63273-B
yi3 zhi1	22-2358-B
yi3 zhi3	63-47279-S
yi3 zhi4	4-38371-B,4-38495-B
yi3 zhi4 xin4	67-11488-S
yi3 zhi4 yong4	19-16686-S
yi3 zhi4 yu2	4-38417-B
yi3 zhong3	3-16424-B
yi3 zhong3 cu4 xiao4 ji4	3-16474-B
yi3 zhong3 li4 zi3	3-16662-B
yi3 zhong3 she4 xian4	3-16555-B
yi3 zhong4	5-63483-B
yi3 zhuang4 jie2 chang2	3-16332-B
yi3 zi4 ya2 sha1 ren2	4-38187-B
yi3 zi5	34-24942-B
yi3 zuo4	9-47307-S
