撰杜	58-61648-S
撰稿人	29-16125-S
撰稿人 撰稿人	29-16125-B
撱	29-16196-S
撱 撱	29-16196-B
撲 扑	29-16242-B
撲倒 扑倒	29-16319-B
撲克 扑克	29-16364-B
撲克牌 扑克牌	29-16430-B
撲救 扑救	29-16485-B
撲滅 扑灭	29-16612-B
撲臉兒 扑脸儿	29-16671-B
撲通 扑通	29-16737-B
撲面 扑面	29-16778-B
撲面而來 扑面而来	29-16955-B
撲騰 扑腾	29-17153-B
撳 揿	29-17199-B
撵	29-32533-S
撷	29-29291-S
撺	29-33573-S
撺掇	29-33632-S
撻 挞	29-17237-B
撼	29-17269-S
撼 撼	29-17269-B
撾 挝	29-17307-B
撿 捡	29-17335-B
擀	29-17390-S
擀 擀	29-17390-B
擀面杖	29-17432-S
擀面杖 擀面杖	29-17432-B
擁 拥	29-17491-B
擁塞 拥塞	29-17600-B
擁戴 拥戴	29-17649-B
擁抱 拥抱	29-17705-B
擁擠 拥挤	29-17757-B
擁有 拥有	29-17799-B
擁護 拥护	29-17852-B
擁護者 拥护者	29-17907-B
擂	29-17970-S,29-18006-S
擂 擂	29-17970-B,29-18006-B
擄 掳	29-18042-B
擄獲 掳获	29-18076-B
擅	29-18149-S
擅 擅	29-18149-B
擅场	29-18260-S
擅場 擅场	29-18260-B
擅断	29-18333-S
擅斷 擅断	29-18333-B
擅权	29-18378-S
擅權 擅权	29-18378-B
擅离职守	29-18629-S
擅美	29-18431-S
擅美 擅美	29-18431-B
擅自	29-18517-S
擅自 擅自	29-18517-B
擅長 擅长	29-18563-B
擅长	29-18563-S
擅離職守 擅离职守	29-18629-B
擇 择	29-18712-B,29-18761-B
擇善而從 择善而从	29-18794-B
擇定 择定	29-18903-B
擉	29-18952-S
擉 擉	29-18952-B
擊 击	29-19002-B
擊中 击中	29-19064-B
擊倒 击倒	29-19130-B
擊刺 击刺	29-19189-B
擊劍 击剑	29-19236-B
擊劍者 击剑者	29-19285-B
