Mi luo jiang	36-63789-B
Mi luo shi	36-63699-B
Mi ma	62-53762-S,62-55151-S
Mi nuo an	48-46368-B
Mi quan	48-45756-B
Mi sai ya	23-51907-B
Mi shan	20-4259-B
Mi shu chu	51-59335-S
Mi shui	37-58440-B
Mi su li	20-5392-B
Mi su li zhou	20-5442-B
Mi tuo	23-52014-B
Mi tuo xiang	23-52055-B
Mi xi xi bi	20-5504-B
Mi xi xi bi he	20-5642-B
Mi xi xi bi zhou	20-5567-B
Mi xian	20-5294-B
Mi xie er	48-45646-B
Mi xie gen	20-4666-B
Mi xie gen Da xue	20-4732-B
Mi xie gen zhou	20-4819-B
Mi yi	48-45528-B
Mi yun	20-6322-B
Mi yun xian	20-6389-B
Mi zhi	48-46155-B
Mi2	47-9575-B
Mi2 du4	23-51491-B
Mi2 le4	23-50577-B,48-4331-S
Mi2 le4 Pu2 sa4	23-50830-B
Mi2 le4 fo2	23-50710-B
Mi2 sai4 ya4	23-51907-B
Mi2 tuo2	23-52014-B
Mi2 tuo2 xiang1	23-52055-B
Mi3	37-58401-B
Mi3 Fei4	48-46216-B
Mi3 er3 dun4	48-45820-B
Mi3 fu1	48-45326-B
Mi3 gai1 ya4	48-46320-B
Mi3 gao1 yang2	48-46565-B
Mi3 kai1 lang3 ji1 luo2	48-46441-B
Mi3 la1	48-45476-B
Mi3 lan2	48-46267-B
Mi3 lao3 shu3	48-46099-B
Mi3 lin2	48-45587-B
Mi3 nuo4 an1	48-46368-B
Mi3 quan2	48-45756-B
Mi3 shui3	37-58440-B
Mi3 xie1 er3	48-45646-B
Mi3 yi4	48-45528-B
Mi3 zhi1	48-46155-B
Mi4 ke4 long2	51-48927-S
Mi4 ke4 luo2 ni2 xi1 ya4	20-3485-B
Mi4 luo2	36-63626-B
Mi4 luo2 jiang1	36-63789-B
Mi4 luo2 shi4	36-63699-B
Mi4 ma3	62-53762-S,62-55151-S
Mi4 shan1	20-4259-B
Mi4 shu1 chu4	51-59335-S
Mi4 su1 li3	20-5392-B
Mi4 su1 li3 zhou1	20-5442-B
Mi4 xi1 xi1 bi3	20-5504-B
Mi4 xi1 xi1 bi3 he2	20-5642-B
Mi4 xi1 xi1 bi3 zhou1	20-5567-B
Mi4 xian4	20-5294-B
Mi4 xie1 gen1	20-4666-B
Mi4 xie1 gen1 Da4 xue2	20-4732-B
Mi4 xie1 gen1 zhou1	20-4819-B
Mi4 yun2	20-6322-B
Mi4 yun2 xian4	20-6389-B
Mian chi	40-725-B
Mian dian	50-23813-B
Mian dian lian bang	50-23867-B
Mian gao yuan	33-23097-S
Mian lan	34-19305-B
Mian lan lao dao	34-19365-B
Mian ning	8-12524-B
Mian wen	50-23761-B
Mian xian	9-66819-B
Mian yang	50-13545-B
Mian yang di qu	50-13622-B
Mian yang shi	50-13721-B
Mian yin	50-23581-B
Mian yin zhou	50-23621-B
Mian yuan	50-23531-B
Mian zhu	50-12691-B
Mian zhu shi	50-12779-B
Mian zhu xian	50-12878-B
Mian2 lan2	34-19305-B
Mian2 lan2 lao3 dao3	34-19365-B
Mian2 yang2	50-13545-B
Mian2 yang2 di4 qu1	50-13622-B
Mian2 yang2 shi4	50-13721-B
Mian2 zhu2	50-12691-B
Mian2 zhu2 shi4	50-12779-B
Mian2 zhu2 xian4	50-12878-B
Mian3 chi2	40-725-B
Mian3 dian4	50-23813-B
Mian3 dian4 lian2 bang1	50-23867-B
Mian3 gao1 yuan2	33-23097-S
Mian3 ning2	8-12524-B
Mian3 wen2	50-23761-B
Mian3 xian4	9-66819-B
Mian3 yin1	50-23581-B
Mian3 yin1 zhou1	50-23621-B
Mian3 yuan2	50-23531-B
Miao	53-64571-B
Miao li	53-64778-B
Miao zu	53-64699-B
Miao zu Dong zu zi zhi zhou	71-34948-S
Miao zu zi zhi xian	56-11042-S,70-26372-S
Miao zu zi zhi zhou	25-2443-S,39-12625-S,71-34703-S,71-35417-S
Miao2	53-64571-B
Miao2 li4	53-64778-B
Miao2 zu2	53-64699-B
Miao2 zu2 Dong4 zu2 zi4 zhi4 zhou1	71-34948-S
Miao2 zu2 zi4 zhi4 xian4	56-11042-S,70-26372-S
Miao2 zu2 zi4 zhi4 zhou1	25-2443-S,39-12625-S,71-34703-S,71-35417-S
Mie du	39-26437-B
Mie4 du4	39-26437-B
Min chu	38-61881-S
Min feng	36-23044-B
Min guo	2-80512-S,17-40331-S,36-19773-B
Min guo tong su yan yi	36-19893-B
Min hang qu	65-47361-B
Min he	36-19695-B
Min hou xian	65-48731-B
Min jiang	21-38302-B,65-48890-B
Min jin dang	36-23110-B
Min nan	65-48800-B
