gū zhèn fǔ	61-33767-B
gū zhèng bù lì	19-13605-B
gū zhēng	19-13058-B
gū zhǎng nán míng	19-13127-B
gū ér	19-12804-B
gū ér yuàn	19-12896-B
gū ér yào	19-12842-B
gǎ	21-5389-B
gǎi	5-47823-S,15-66887-S,20-21584-S,25-7158-S,26-57220-S,29-43530-B,30-15314-S,30-33879-S,32-7955-S,32-59774-S,47-58909-S,48-33175-S
gǎi biàn	29-45630-B,37-9313-S
gǎi biàn xìn yǎng zhě	29-45696-B
gǎi biàn xíng xiàng	29-45774-B
gǎi biān	29-45098-B
gǎi běn xìng nán yí	36-58907-S
gǎi bǐng xìng nán yí	36-59048-S
gǎi cháo	29-44610-B
gǎi cháo huàn dài	29-44664-B
gǎi chéng	29-44444-B
gǎi dào	29-46382-B
gǎi dìng	29-45513-B
gǎi dìng tiáo yuē	2-49857-S
gǎi dìng yī lí tiáo yuē	29-45849-B
gǎi dòng	29-43783-B
gǎi guò	29-46212-B
gǎi guò zì xīn	29-46263-B
gǎi guān	29-45428-B
gǎi gé	19-39758-S,29-46670-B,30-27008-S,49-60356-S,64-15034-S
gǎi gé jìn chéng	29-46827-B
gǎi gé kāi fàng	29-46898-B
gǎi gé pài	29-46712-B
gǎi gé wěi yuán huì	15-6250-S
gǎi gé zhě	29-46775-B
gǎi gǎo	29-44971-B
gǎi háng	29-45329-B
gǎi jiàn	29-44266-B
gǎi jìn	29-46153-B
gǎi kǒu	29-43846-B
gǎi liáng	29-45164-B
gǎi liáng zhǔ yì	29-45207-B
gǎi míng	29-43942-B
gǎi pàn	29-43661-B
gǎi qián fēi	44-14453-S
gǎi rì	29-44551-B
gǎi shàn	29-43996-B
gǎi shàn guān xi	29-44139-B
gǎi shàn tōng xùn	29-44056-B
gǎi tóu huàn miàn	29-47045-B
gǎi wěi	44-29820-S
gǎi xié guī zhèng	29-46523-B
gǎi xiě	29-44215-B
gǎi xuǎn	29-46467-B
gǎi xìn	29-43595-B
gǎi yàng	29-44837-B
gǎi yè	29-44772-B
gǎi yì	29-45563-B
gǎi yín	58-16704-B
gǎi yíng	10-5506-S
gǎi zhuāng	29-45384-B
gǎi zhuī	29-46624-B
gǎi zhèng	29-44892-B
gǎi zào	10-4987-S,29-46088-B
gǎi zé	29-43724-B
gǎi zǔ	29-45027-B
gǎi è xiàng shàn	29-44350-B
gǎn	2-12841-S,6-36026-S,6-44648-S,9-66257-S,11-48362-S,11-68033-S,16-57460-S,18-10926-S,18-28419-S,19-9422-S,22-55756-S,24-61220-S,24-61971-S,25-14017-S,25-21332-S,25-38714-B,26-1584-S,26-8323-S,26-22179-S,27-70007-S,28-200-S,28-29077-S,28-46357-S,28-46464-S,29-17390-B,29-62911-S,30-6316-B,31-3202-S,33-36681-S,34-8756-B,34-46033-S,34-46089-S,34-62601-B,35-54072-S,38-3408-S,38-50237-S,40-239-B,40-47343-S,41-26857-S,42-51878-S,44-14408-S,45-41690-S,47-10364-S,47-23198-S,47-29080-B,48-15290-S,48-27638-S,49-51927-S,50-17129-S,51-18180-S,53-14301-S,56-14251-S,57-42628-S,58-25488-S,59-12232-S,59-40718-S,59-60154-S,60-28549-B,61-60343-S,62-58802-S,65-3756-S,67-4626-S,67-30519-S,67-31155-S,67-31218-S,67-33885-S,67-40110-S,67-51656-S,68-28970-S
gǎn bìng dú	38-3541-S
gǎn bù shàng	60-28706-B
gǎn chà yì	43-15896-S
gǎn chèng	34-8882-B
gǎn chù	25-43261-B
gǎn chāo	60-29167-B
gǎn chū	60-28852-B
gǎn dài	25-42050-B
gǎn dào	25-39135-B
gǎn dì qū	19-9495-S
gǎn dòng	25-39239-B
gǎn dāng	2-12885-S,30-6343-S
gǎn fèn	25-40522-B,25-41659-B
gǎn fā	25-42879-B
gǎn guān	25-40596-B
gǎn guāng	25-38960-B
gǎn guǐ	69-56843-S
gǎn huà	25-39302-B
gǎn huà bǐng gān	25-39584-B
gǎn huà yuàn	25-39513-B
gǎn huái	25-41974-B
gǎn jiāo jí	44-53965-S
gǎn jiǎo	60-29054-B
gǎn jué	25-43043-B
gǎn jué dào	25-43128-B
gǎn jué qì guān	25-43177-B
gǎn jí	60-29213-B
gǎn jùn	33-38961-S
gǎn jī	25-42603-B
gǎn jī bù jìn	25-42681-B
gǎn jī tì líng	25-42769-B
gǎn jūn	17-32250-S,33-3051-S,34-8949-B,40-29923-S,44-37316-S,49-42179-S,52-5678-S,52-5844-S,60-64552-S,67-41751-S,71-49800-S
gǎn jūn bìng	22-16247-S
gǎn jūn dú sù	52-5754-S
gǎn jǐn	60-29011-B
gǎn kuài	60-28957-B
gǎn kuì	25-40155-B,25-41517-B
gǎn kǎi	25-41585-B
gǎn lái	60-28806-B
gǎn lǎn	34-62629-B
gǎn lǎn qiú	35-339-B,40-3199-S,51-6724-S,54-3330-S
gǎn lǎn shí	35-428-B
gǎn lǎn shù	35-230-B
gǎn lǎn shān	35-0-B
gǎn lǎn yán	35-94-B
gǎn lǎn yóu	35-285-B
gǎn lǎn zhī	35-157-B
gǎn miàn zhàng	29-17432-B
gǎn mào	25-39011-B,38-5990-S
gǎn mào yào	25-39072-B
gǎn máng	60-28899-B
gǎn niàn	25-40648-B
gǎn nù ér bù gǎn yán	30-6554-B
gǎn pèi	25-38820-B
gǎn pǐn zhǒng	46-1560-S
gǎn qì	6-36091-S,43-23354-S
gǎn qíng	25-41205-B
gǎn qíng yòng shì	25-41345-B
gǎn rén	25-38771-B
gǎn rǎn	20-16147-S,25-42102-B,36-3779-S,38-53498-S,50-44170-S
gǎn rǎn jì liàng	25-42250-B
gǎn rǎn lì	25-42321-B
