post communist president of russia 1991 1999	54-51225-S
post for personal revenge 成语 saw	19-40931-S
post for tethering animals	33-8178-B
post haste	10-47375-B
post horse	69-64249-B
post horses	69-64295-S
post in newspaper name	63-25423-B
post interpretive processes	24-952-B
post lexical access	24-1597-B
post modernism	24-698-B
post morning edition of china business news 華商報 华商报	54-32664-S
post natal	23-67912-B
post newspaper	31-46739-S,49-19586-S,54-35427-S
post newspaper in hong kong	11-3183-S
post of minister of war in pre han chinese states	12-24920-S
post office	63-25236-B,63-25534-B
post office box	63-25849-B
post on a noticeboard or website	44-34328-S
post on a website	28-37216-S
post on border between countries	11-67859-S
post several times in succession	56-18272-S
post synaptic	47-53833-B
post traumatic	40-27057-B
post traumatic stress	9-35324-B,23-68081-B
post traumatic stress disorder ptsd	9-35415-B
post war	26-18381-B
postage	63-26216-B
postage and packing fee	63-38863-B
postage stamp	63-26068-B
postage stamps	8-33198-S
postal	63-25807-B
postal bureau	63-25924-S
postal code	63-25991-B,63-26161-B
postal district	63-25375-B
postal parcel	63-25321-B
postal union	54-44225-S
postcard	31-22106-B
postcode	63-25578-B
postdoc	11-6671-B
postdoctoral position	11-6671-S
poster	17-14245-S,27-43873-B,34-56041-B,38-17630-B
poster for advertising or propaganda	27-43922-S
posterior part of temporal bone	3-22944-S
posteriori philosophy	7-6650-S
posterity	7-3935-S,14-25123-B,19-688-S,19-757-B,23-66860-B,23-67756-B
posthumous	35-57214-B
posthumous award	61-59555-S
posthumous child	63-3683-B
posthumous edict of former emperor	7-3935-B,63-3796-B
posthumous name and title	58-45427-B
posthumous name given after death of emperor	23-7306-B
posthumous name ming taizu 明太祖	37-61183-S
posthumous name of chiang kai shek 蔣介石 蒋介石 former kuomintang leader	2-74366-B
posthumous name of ming emperor yongle	31-23866-B
posthumous name of the first han emperor liu bang 劉邦 刘邦 256 or 247 195 bc	39-51386-B
posthumous name of the first ming emperor zhu yuanzhang 朱元璋 reigned 1386 1398	31-22991-B
posthumous orders or teachings	63-2855-B
posthumous painting	63-2279-B
posthumous recognition	61-59979-B
posthumous son	63-3351-B
posthumous title	17-60027-S,58-45370-B,58-54049-B,61-56446-S
posthumous title of hung taiji 皇太極 皇太极 1592 1643	38-60100-B
posthumous title of nurhaci 努爾哈赤 努尔哈赤 1559 1626	38-60209-B
posthumously	61-60180-S
posting	43-51877-S
posting on a bulletin board	4-65108-B
postman	63-25641-B
postmark	63-25683-B
postmark date	63-25739-B
postmortem	21-11440-B,35-14239-B
postmortem examination to determine cause of death etc	69-58223-S
postnatal	43-31854-B
postnatal fever	43-33024-B
postnatal period	43-32914-B
postpartum period	15-51262-B
postpone	21-22023-S,23-16944-S,23-17884-S,23-18112-S,23-18623-S,27-35886-S,28-32752-S,31-65241-S,50-22340-S,68-23686-S
postpone a meeting	23-17829-S
postpone work	43-49603-S
posts	8-6907-S
posts at the same time	8-6102-S
posts etc	29-45027-S
postscript	22-59722-S,66-15931-B,68-43374-S
postscript to bibliography	6-40201-B
postulate	7-64196-S,22-44523-S,22-44523-S
posture	5-5817-S,10-7688-B,18-44614-B,18-44713-B,20-55259-S,25-45851-B,35-61154-S,60-56082-B,60-56082-S,69-64174-S,70-5428-B,70-7326-B
posture and movement	53-32285-S
posture on stage	60-57026-B
postures	16-55600-S
posumbu	55-43965-S
pot	1-60832-S,5-28781-S,5-29571-S,16-37900-B,17-34199-S,37-40469-S,39-45098-S,43-12883-S,45-1642-S,45-1804-S,45-3112-B,45-14629-S,46-18974-S,48-15661-S,50-50456-B,50-50491-B,51-39345-S,53-58875-S,56-11519-S,56-38598-S,64-49795-B,64-50614-S,65-4407-S,65-5016-S,66-60256-S,69-39061-S,70-30790-S,70-30848-S
pot and jade as ordinary stone 成语 saw	71-47254-S
pot boils	65-43209-S
pot chemical engineering	11-48957-S
pot for cart	64-41997-S
pot for warming wine	30-70288-S
pot holed	15-49273-B
pot holes	15-52021-S
pot of boiling water	65-32678-B
pot of cooked rice	69-14675-B
pot or saucepan	41-10698-B
pot pourri	17-39679-B
pot sticker	69-9718-B,69-9835-B
pot that doesn t boil 俗语 common saying	13-45271-S
pot trap	39-42609-S
pot type of food	40-24868-S
pot under a cart	61-14954-S
pot 成语 saw	17-10568-S,46-19607-S
potable water	69-6452-B
