fen1 bian4 lu:4	8-58805-B
fen1 bie2	8-50317-B
fen1 bo1 duo1 gong1	8-55998-B
fen1 bu4	8-49349-B,68-41946-S
fen1 bu4 kong4 zhi4	8-49973-B
fen1 bu4 lian2 jie2 wang3 luo4	8-52372-B
fen1 bu4 shi4	8-49494-B
fen1 bu4 shi4 fa1 zhan3 mo2 xing2	8-52253-B
fen1 bu4 shi4 huan2 jing4	8-49694-B
fen1 bu4 shi4 jie2 gou4	8-49797-B
fen1 bu4 shi4 ju4 jue2 fu2 wu4	8-49549-B
fen1 bu4 shi4 shu4 ju4 jie4 mian4	7-12072-S
fen1 bu4 shi4 wang3 luo4	8-49887-B
fen1 bu4 shu4 ju4 jie1 kou3	7-12222-S
fen1 bu4 tu2	8-49407-B,8-52166-B
fen1 can1	8-60129-B
fen1 ce4	8-50250-B
fen1 cha4	8-50590-B,8-51980-B
fen1 cha4 li3 lun4	8-52025-B
fen1 cheng2	8-53076-B,49-24133-B
fen1 ci2	8-58389-B,15-54699-S,42-49605-S,62-43988-S
fen1 cun4	8-51516-B,37-9077-S
fen1 da4 xiao3 xie3	1-74108-S,10-40636-S
fen1 dan1	8-53445-B
fen1 dang3	30-55664-S
fen1 di1 neng2	70-11920-S
fen1 dian3	3-32915-S,8-60254-B,31-32999-S,31-46140-S,44-51625-S,47-14374-S
fen1 dian4	8-52484-B
fen1 dui4	8-59508-B
fen1 duo1	33-68110-S
fen1 duo2 miao3	41-38316-S
fen1 er2 zhi4 zhi1	8-57472-B
fen1 fa1	8-56709-B
fen1 fa3	7-43659-S,59-7434-S
fen1 fan2	49-24351-B
fen1 fang1	34-24788-B,53-53488-B
fen1 fang1 cheng2	6-12048-S,21-64099-S,22-31160-S,24-18264-S,47-38797-S
fen1 fang2	8-53159-B
fen1 fei1	9-63515-S,49-24409-B
fen1 fen1	49-24275-B
fen1 feng1	8-51621-B
fen1 feng1 zhi4	8-51708-B
fen1 fu4	8-49291-B,12-67222-B
