sù dí	16-52528-B,19-67268-B
sù dòng	62-16637-B
sù dù	8-60973-S,9-60009-S,19-20954-S,31-1398-S,38-66785-S,50-17745-S,57-46246-S,62-16771-B
sù dēng	46-10035-S
sù dǎng	4-69981-S,70-22448-S
sù fèn	19-66534-B
sù fā zhǎn	24-49203-S
sù fēn lí	12-45712-S
sù fǎ	8-64769-S
sù fǎ yuàn	1-55790-S
sù fǎn	52-2900-B
sù fǎn yùn dòng	52-3086-B
sù fǔ	42-32008-S
sù gēn	19-67361-B
sù gōng lù	70-22386-S
sù gǎn	59-12232-S
sù huǎn chōng cún chǔ qì	70-22699-S
sù huǎn cún	70-22638-S
sù hèn	19-67225-B
sù hǎi	3-64301-S
sù jiàn	20-177-B
sù jiàng	19-66886-B
sù jié gòu	58-10639-S
sù jiāo	16-15571-B
sù jiǔ	20-405-B
sù jué	62-17017-B
sù jì	31-18170-S,62-17144-B
sù jì yuán	62-17185-B
sù jí	19-67545-B
sù jī	31-18091-S
sù kǔ	58-4613-B
sù liào	16-15529-B
sù liú	45-51507-S
sù lái	49-24791-B
sù lì	52-3607-B
sù lù	70-22806-S
sù lǜ	4-70045-S,6-41466-S,16-817-S,28-16261-S,28-16584-S,29-20891-S,32-20021-S,49-5052-S,62-17064-B,70-22511-S
sù miáo	49-24831-B
sù màn yán	61-44485-S
sù mèi píng shēng	49-24916-B
sù mìng lùn	19-66717-B
sù nuò	16-52798-B
sù nán yù gù zú zì zhì xiàn	52-2764-B
sù náng	14-23693-B
sù níng	52-3307-B
sù qiú	58-4549-B
sù qiān	20-248-B
sù qiān shì	20-321-B
sù qì	9-59922-S,12-48820-S,14-56015-S,22-678-S,26-32078-S,39-1330-S,45-23254-S,45-23338-S,48-48125-S,57-36295-S,59-12162-S
sù qīng	52-3368-B
sù qīng fǎn gé mìng fèn zǐ	52-3407-B
sù rén	56-51080-S
sù rì	16-52587-B
sù rú	19-66459-B
sù shuō	41-24620-S,58-4693-B
sù shè	20-0-B,62-16728-B
sù shí	49-25349-B
sù shí cān tīng	62-17454-B
sù shí diàn	62-17395-B
sù shí miàn	62-17524-B
sù shí xiào	61-59773-S
sù shí zhě	49-25408-B
sù shù	19-20044-S,49-24871-B
sù shēng	20-1879-S
sù shěng	43-14848-S
sù shǐ kè	54-57537-S
sù sòng	36-19205-S,58-4652-B
sù sòng fǎ	8-64292-S
sù sōng	20-609-B
sù tiáo guǎn	62-17241-B
sù tí	20-514-B
sù tōng dá mó xíng	58-10716-S
sù tǐ	53-45560-S
sù wù	19-66591-B
sù wǎng luò	70-22564-S
sù xiàn	19-67649-B,30-52676-S,39-20467-S,49-25462-B
sù xiàn dì qū	19-67701-B
sù xiàng	16-15444-B
sù xiào	62-16886-B
sù xiào xìng dú jì	62-16933-B
sù xián	16-52459-B
sù xiāng	59-12287-S
sù xiě	62-16683-B
sù xué xiào	20-1809-S
sù xìng	12-12238-S,16-15485-B
sù xíng	62-17106-B
sù xī	19-67309-B
sù xīng yè mèi	16-52636-B
sù yuàn	16-52867-B,19-67157-B,20-556-B
sù yuàn yǐ cháng	16-52920-B
sù yuán	19-67592-B,28-31185-S,39-23623-B,60-18252-S,61-58459-S,61-67716-S
sù yè	16-52294-B,19-66781-B
sù yè fěi xiè	16-52363-B
sù yì xíng tǐ	12-50686-S
sù yíng	19-67417-B,67-46813-S
sù yíng dì	19-67485-B
sù yù	48-51211-B
sù yīn	68-12698-S
sù yǐ tài wǎng luò	24-49112-S
sù yǐ tài wǎng lù	60-25167-S,70-22297-S
sù zhài	19-66407-B
sù zhì	24-35241-S,24-55122-S,29-56748-S,34-32311-S,43-19476-S,43-22644-S,49-25201-B,52-27111-S,62-50864-S
sù zhì chà	49-25278-B
sù zhēn	44-43923-S
sù zhě	60-18306-S
sù zhī kè	2-33958-S
sù zhōng dú zhèng	14-20110-S
sù zhōu	19-66936-B
sù zhōu qī biǎo	6-62839-S
sù zhōu shì	19-67007-B
sù zhǒng zi	50-50295-S
sù zhǔ	19-66315-B
sù zuì	20-473-B
sù zào	16-15619-B
sù zào chéng	16-15731-B
sù zé bù dá	25-53606-S
sù zú	6-26026-S
sù zú zì zhì zhōu	24-52909-S
sù ér zhì	2-34040-S
sù ěr qún dǎo	3-64374-S
sùn	26-62739-S
sú	2-38047-S,2-64976-S,4-67305-S,5-33065-B,6-45265-S,6-51538-S,7-25850-S,8-29202-S,23-3568-S,25-19364-S,33-43573-S,36-19475-S,36-23717-S,47-7947-S,48-48718-S,51-17687-S,51-17955-S,62-7015-S,62-57612-S,63-9469-S,63-31895-S,63-52540-S,68-53384-S,69-59387-S
sú chéng	49-4909-S
sú chēng	5-33442-B
sú de jiē jí	48-48756-S
sú huà	4-67452-S,5-33512-B,23-3689-S
sú huà shuō	5-33566-B
sú qì	5-33368-B
sú rén	5-33141-B
sú tǐ zì	5-33698-B
sú xué	36-19523-S
sú yì dǒng	62-7072-S
sú yí xìng	51-18030-S
sú yǎn yì	35-52701-S,36-19893-S
