bie	2-33063-S,3-9324-S,5-53314-S,8-50317-S,9-2905-B,10-40764-S,10-49194-S,11-62981-S,11-69946-S,12-28734-S,13-8843-S,17-45514-S,17-49818-S,21-64185-S,23-28008-S,23-46644-B,24-61293-S,25-16980-S,25-54240-B,26-32327-S,27-44973-S,28-47502-S,33-8838-S,35-56967-S,36-48934-S,37-10160-S,38-729-S,38-2243-S,41-56575-S,43-47581-S,43-48756-S,44-21189-B,49-23812-S,52-56124-S,58-28590-S,58-61889-S,60-51552-B,61-35632-S,61-37298-S,61-63616-S,62-49835-S,62-55942-S,65-6418-S,67-8904-S,68-47391-S,70-47459-B
bie bi	24-61371-S
bie cai liao	35-45046-S
bie cheng	9-4205-B
bie chu	9-4417-B
bie chu xin cai	9-3200-B
bie dai yu	41-56729-S
bie de	9-4163-B
bie dong dui	9-3302-B
bie gan xie	41-56800-S
bie guan	9-4270-B
bie hao	9-4460-B,58-62002-S,62-11456-S
bie hu li	41-57038-S
bie ji	67-49563-S
bie jia	70-47488-B
bie jie fu	8-66005-S
bie ju yi ge	9-3111-B
bie kai sheng mian	9-4645-B
bie ke	40-35320-S,40-37308-S
bie ke chuan	41-57149-S
bie ke qi	9-3711-B
bie ke ren	40-37387-S
bie ke si tan	40-37465-S
bie ke zu	40-37549-S
bie li	9-4076-B,9-4765-B,61-35714-S
bie lin	34-5005-S
bie luo sha	44-21334-B
bie ma	30-22837-S,58-61948-S
bie men	25-54330-B
bie ming	9-3403-B
bie niu	23-46757-B
bie qi	25-54403-B
bie qun	70-47534-B
bie ren	9-3007-B
bie ren wu lian	41-56645-S
bie san	44-21243-B
bie shan	17-7200-S
bie shi	41-56887-S,63-4143-S
bie shu	9-3450-B
bie tai ke qi	9-3489-B
bie wu	9-4022-B
bie xing zheng qu	41-56941-S
bie xu	67-9885-S
bie you dong tian	9-3784-B
bie you yong xin	9-3923-B
bie zeng yan	52-56186-S
bie zhao ji	9-4360-B
bie zhen	9-4607-B,32-4369-S
bie zhi	9-4319-B
